Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Battle at Lake Changjin,"$902,403,559","$333,214",<0.1%,"$902,070,345",100%
2,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
3,No Time to Die,"$771,242,208","$160,668,208",20.8%,"$610,574,000",79.2%
4,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
5,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
6,Venom: Let There Be Carnage,"$493,407,472","$212,107,472",43%,"$281,300,000",57%
7,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%
8,Shang-Chi and the Legend of the Ten Rings,"$432,216,543","$224,543,292",52%,"$207,673,251",48%
9,Eternals,"$396,146,317","$161,901,394",40.9%,"$234,244,923",59.1%
10,Dune,"$390,150,591","$106,450,591",27.3%,"$283,700,000",72.7%
11,Black Widow,"$379,631,351","$183,651,655",48.4%,"$195,979,696",51.6%
12,Free Guy,"$331,494,740","$121,626,598",36.7%,"$209,868,142",63.3%
13,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
14,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%
15,"My Country, My Parents","$221,701,823","$166,807",<0.1%,"$221,535,016",99.9%
16,Jungle Cruise,"$220,885,417","$116,987,516",53%,"$103,897,901",47%
17,Raging Fire,"$205,838,889","$385,305",0.2%,"$205,453,584",99.8%
18,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%
19,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
20,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
21,The Suicide Squad,"$167,400,219","$55,800,219",33.3%,"$111,600,000",66.7%
22,Ghostbusters: Afterlife,"$165,742,461","$113,042,461",68.2%,"$52,700,000",31.8%
23,Space Jam: A New Legacy,"$162,828,072","$70,528,072",43.3%,"$92,300,000",56.7%
24,Encanto,"$155,016,738","$73,498,388",47.4%,"$81,518,350",52.6%
25,Peter Rabbit 2: The Runaway,"$153,736,536","$40,336,536",26.2%,"$113,400,000",73.8%
26,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
27,The Boss Baby: Family Business,"$142,668,280","$57,300,280",40.2%,"$85,368,000",59.8%
28,Tom and Jerry,"$132,841,123","$46,041,123",34.7%,"$86,800,000",65.3%
29,Be Somebody,"$132,300,000",-,-,"$132,300,000",100%
30,Halloween Kills,"$131,645,830","$92,000,830",69.9%,"$39,645,000",30.1%
31,Raya and the Last Dragon,"$130,281,158","$54,723,032",42%,"$75,558,126",58%
