Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1,Avengers: Endgame,2797800564,858373000,1939427564,2019.csv,2019,30.7%,69.3%
2,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,1131561399,2015.csv,2015,45.3%,54.7%
3,Avengers: Infinity War,2048359754,678815482,1369544272,2018.csv,2018,33.1%,66.9%
4,Jurassic World,1670400637,652270625,1018130012,2015.csv,2015,39%,61%
5,The Lion King,1656943394,543638043,1113305351,2019.csv,2019,32.8%,67.2%
6,The Avengers,1518812988,623357910,895455078,2012.csv,2012,41%,59%
7,Furious 7,1515047671,353007020,1162040651,2015.csv,2015,23.3%,76.7%
8,Frozen II,1450026933,477373578,972653355,2019.csv,2019,32.9%,67.1%
9,Avengers: Age of Ultron,1402805868,459005868,943800000,2015.csv,2015,32.7%,67.3%
10,Black Panther,1346913161,700059566,646853595,2018.csv,2018,52%,48%
11,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,960500000,2011.csv,2011,28.4%,71.6%
12,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,712358507,2017.csv,2017,46.5%,53.5%
13,Jurassic World: Fallen Kingdom,1308467944,417719760,890748184,2018.csv,2018,31.9%,68.1%
14,Frozen,1280802282,400738009,880064273,2013.csv,2013,31.3%,68.7%
15,Beauty and the Beast,1263521126,504014165,759506961,2017.csv,2017,39.9%,60.1%
16,Incredibles 2,1242805359,608581744,634223615,2018.csv,2018,49%,51%
17,The Fate of the Furious,1236005118,226008385,1009996733,2017.csv,2017,18.3%,81.7%
18,Iron Man 3,1214811252,409013994,805797258,2013.csv,2013,33.7%,66.3%
19,Minions,1159398397,336045770,823352627,2015.csv,2015,29%,71%
20,Captain America: Civil War,1153296293,408084349,745211944,2016.csv,2016,35.4%,64.6%
21,Aquaman,1148461807,335061807,813400000,2018.csv,2018,29.2%,70.8%
22,The Lord of the Rings: The Return of the King,1140682011,377027325,763654686,2003.csv,2003,33.1%,66.9%
23,Spider-Man: Far from Home,1131927996,390532085,741395911,2019.csv,2019,34.5%,65.5%
24,Captain Marvel,1128274794,426829839,701444955,2019.csv,2019,37.8%,62.2%
25,Transformers: Dark of the Moon,1123794079,352390543,771403536,2011.csv,2011,31.4%,68.6%
26,Skyfall,1108561013,304360277,804200736,2012.csv,2012,27.5%,72.5%
27,Transformers: Age of Extinction,1104054072,245439076,858614996,2014.csv,2014,22.2%,77.8%
28,The Dark Knight Rises,1081041287,448139099,632902188,2012.csv,2012,41.5%,58.5%
29,Joker,1074251311,335451311,738800000,2019.csv,2019,31.2%,68.8%
30,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,558941706,2019.csv,2019,48%,52%
31,Toy Story 4,1073394593,434038008,639356585,2019.csv,2019,40.4%,59.6%
32,Toy Story 3,1066969703,415004880,651964823,2010.csv,2010,38.9%,61.1%
33,Rogue One: A Star Wars Story,1056057273,532177324,523879949,2016.csv,2016,50.4%,49.6%
34,Aladdin,1050693953,355559216,695134737,2019.csv,2019,33.8%,66.2%
35,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,804642000,2011.csv,2011,23.1%,76.9%
36,Despicable Me 3,1034799409,264624300,770175109,2017.csv,2017,25.6%,74.4%
37,Finding Dory,1028570889,486295561,542275328,2016.csv,2016,47.3%,52.7%
38,Alice in Wonderland,1025467110,334191110,691276000,2010.csv,2010,32.6%,67.4%
39,Zootopia,1023784195,341268248,682515947,2016.csv,2016,33.3%,66.7%
40,The Hobbit: An Unexpected Journey,1017003568,303003568,714000000,2012.csv,2012,29.8%,70.2%
41,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,680553613,2010.csv,2010,30.3%,69.7%
42,Harry Potter and the Sorcerer's Stone,974755371,317575550,657179821,2001.csv,2001,32.6%,67.4%
43,Despicable Me 2,970766005,368065385,602700620,2013.csv,2013,37.9%,62.1%
44,The Jungle Book,966550600,364001123,602549477,2016.csv,2016,37.7%,62.3%
45,Jumanji: Welcome to the Jungle,962077546,404515480,557562066,2017.csv,2017,42%,58%
46,The Hobbit: The Desolation of Smaug,958366855,258366855,700000000,2013.csv,2013,27%,73%
47,The Hobbit: The Battle of the Five Armies,956019788,255119788,700900000,2014.csv,2014,26.7%,73.3%
48,The Lord of the Rings: The Two Towers,936689735,339789881,596899854,2002.csv,2002,36.3%,63.7%
49,Shrek 2,928760770,441226247,487534523,2004.csv,2004,47.5%,52.5%
50,Bohemian Rhapsody,903655259,216428042,687227217,2018.csv,2018,24%,76%
51,Harry Potter and the Goblet of Fire,895921036,290013036,605908000,2005.csv,2005,32.4%,67.6%
52,The Lord of the Rings: The Fellowship of the Ring,883726270,313364114,570362156,2001.csv,2001,35.5%,64.5%
53,Spectre,880674609,200074609,680600000,2015.csv,2015,22.7%,77.3%
54,Spider-Man: Homecoming,880166924,334201140,545965784,2017.csv,2017,38%,62%
55,Harry Potter and the Chamber of Secrets,878979634,261988482,616991152,2002.csv,2002,29.8%,70.2%
56,Ice Age: Continental Drift,877244782,161321843,715922939,2012.csv,2012,18.4%,81.6%
57,The Secret Life of Pets,875457937,368384330,507073607,2016.csv,2016,42.1%,57.9%
58,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,2016.csv,2016,37.8%,62.2%
59,Finding Nemo,871014978,339714978,531300000,2003.csv,2003,39%,61%
60,Wolf Warrior 2,870325439,2721100,867604339,2017.csv,2017,0.3%,99.7%
61,Star Wars: Episode III - Revenge of the Sith,868352530,380270577,488081953,2005.csv,2005,43.8%,56.2%
62,The Hunger Games: Catching Fire,865011746,424668047,440343699,2013.csv,2013,49.1%,50.9%
63,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,2017.csv,2017,45.1%,54.9%
64,Inside Out,857611174,356461711,501149463,2015.csv,2015,41.6%,58.4%
65,Venom,856085151,213515506,642569645,2018.csv,2018,24.9%,75.1%
66,Thor: Ragnarok,853977126,315058289,538918837,2017.csv,2017,36.9%,63.1%
67,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,2012.csv,2012,35.2%,64.8%
68,Inception,828322032,292576195,535745837,2010.csv,2010,35.3%,64.7%
69,Wonder Woman,821847012,412563408,409283604,2017.csv,2017,50.2%,49.8%
